"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","MD5_HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"2","","file:/home/git/sumfolder1/reference/collection/","/home/git/sumfolder1/reference/collection","collection","","Done","","Folder","","2023-01-08T20:53:05","false","","","","","",""
"24","2","file:/home/git/sumfolder1/reference/collection/file_0000","/home/git/sumfolder1/reference/collection/file_0000","file_0000","","Done","10","File","","2023-01-08T18:43:06","false","8cfda2609b880a553759cd6200823f3b","0","","","",""
"25","2","file:/home/git/sumfolder1/reference/collection/file_0001","/home/git/sumfolder1/reference/collection/file_0001","file_0001","","Done","10","File","","2023-01-04T23:29:39","false","14118ff9ad0344decb37960809b2f17a","0","","","",""
"6","2","file:/home/git/sumfolder1/reference/collection/file_0002","/home/git/sumfolder1/reference/collection/file_0002","file_0002","","Done","10","File","","2023-01-04T23:29:44","false","a4501ee1a5c711ea9db78a800a24e830","0","","","",""
"12","2","file:/home/git/sumfolder1/reference/collection/sub_dir_1/","/home/git/sumfolder1/reference/collection/sub_dir_1","sub_dir_1","","Done","","Folder","","2023-01-08T20:52:42","false","","","","","",""
"22","12","file:/home/git/sumfolder1/reference/collection/sub_dir_1/file_0003","/home/git/sumfolder1/reference/collection/sub_dir_1/file_0003","file_0003","","Done","10","File","","2023-01-04T23:29:54","false","dc7f828c5fe622925181d06edada350f","0","","","",""
"23","12","file:/home/git/sumfolder1/reference/collection/sub_dir_1/file_0004","/home/git/sumfolder1/reference/collection/sub_dir_1/file_0004","file_0004","","Done","10","File","","2023-01-04T23:30:19","false","e3d90a4bf14a9b355f0e69ba08df522d","0","","","",""
"18","12","file:/home/git/sumfolder1/reference/collection/sub_dir_1/file_empty","/home/git/sumfolder1/reference/collection/sub_dir_1/file_empty","file_empty","","Done","0","File","","2018-08-14T18:09:29","false","d41d8cd98f00b204e9800998ecf8427e","0","","","",""
"13","12","file:/home/git/sumfolder1/reference/collection/sub_dir_1/sub_1_dir_1/","/home/git/sumfolder1/reference/collection/sub_dir_1/sub_1_dir_1","sub_1_dir_1","","Done","","Folder","","2023-01-08T18:49:00","false","","","","","",""
"21","13","file:/home/git/sumfolder1/reference/collection/sub_dir_1/sub_1_dir_1/file_0005","/home/git/sumfolder1/reference/collection/sub_dir_1/sub_1_dir_1/file_0005","file_0005","","Done","10","File","","2023-01-04T23:30:23","false","637a3fb7da1ab61d10e96336d9758416","0","","","",""
"20","2","file:/home/git/sumfolder1/reference/collection/sub_dir_2/","/home/git/sumfolder1/reference/collection/sub_dir_2","sub_dir_2","","Empty","","Folder","","2023-01-04T23:27:50","false","","","","","",""
"9","2","file:/home/git/sumfolder1/reference/collection/sub_dir_3/","/home/git/sumfolder1/reference/collection/sub_dir_3","sub_dir_3","","Done","","Folder","","2023-01-04T23:28:39","false","","","","","",""
"10","9","file:/home/git/sumfolder1/reference/collection/sub_dir_3/sub_3_empty_1/","/home/git/sumfolder1/reference/collection/sub_dir_3/sub_3_empty_1","sub_3_empty_1","","Done","","Folder","","2023-01-04T23:28:54","false","","","","","",""
"11","10","file:/home/git/sumfolder1/reference/collection/sub_dir_3/sub_3_empty_1/sub_3_empty_2/","/home/git/sumfolder1/reference/collection/sub_dir_3/sub_3_empty_1/sub_3_empty_2","sub_3_empty_2","","Empty","","Folder","","2023-01-04T23:28:54","false","","","","","",""
"5","2","file:/home/git/sumfolder1/reference/collection/sub_dir_4/","/home/git/sumfolder1/reference/collection/sub_dir_4","sub_dir_4","","Done","","Folder","","2023-01-08T18:48:43","false","","","","","",""
"16","5","file:/home/git/sumfolder1/reference/collection/sub_dir_4/file_0006","/home/git/sumfolder1/reference/collection/sub_dir_4/file_0006","file_0006","","Done","10","File","","2023-01-04T23:30:30","false","2b43227486ec8744cd5d4c955d269743","0","","","",""
"15","5","file:/home/git/sumfolder1/reference/collection/sub_dir_4/file_0007","/home/git/sumfolder1/reference/collection/sub_dir_4/file_0007","file_0007","","Done","10","File","","2023-01-04T23:31:00","false","c5a1973a70e08bf1eee13b8090f790ad","0","","","",""
"14","5","file:/home/git/sumfolder1/reference/collection/sub_dir_4/file_0008","/home/git/sumfolder1/reference/collection/sub_dir_4/file_0008","file_0008","","Done","10","File","","2023-01-06T00:40:09","false","fdffe4dd2d39c7d9986dbf5c6ec5ad39","0","","","",""
"3","2","file:/home/git/sumfolder1/reference/collection/sub_dir_5/","/home/git/sumfolder1/reference/collection/sub_dir_5","sub_dir_5","","Done","","Folder","","2023-01-04T23:30:52","false","","","","","",""
"4","3","file:/home/git/sumfolder1/reference/collection/sub_dir_5/sub_5_dir_1/","/home/git/sumfolder1/reference/collection/sub_dir_5/sub_5_dir_1","sub_5_dir_1","","Done","","Folder","","2023-01-08T18:48:24","false","","","","","",""
"7","4","file:/home/git/sumfolder1/reference/collection/sub_dir_5/sub_5_dir_1/file_0009","/home/git/sumfolder1/reference/collection/sub_dir_5/sub_5_dir_1/file_0009","file_0009","","Done","10","File","","2023-01-08T18:45:46","false","7c1f9f9a4d0ce9a72ee63f37a1b7f694","0","","","",""
"8","4","file:/home/git/sumfolder1/reference/collection/sub_dir_5/sub_5_dir_1/file_0010","/home/git/sumfolder1/reference/collection/sub_dir_5/sub_5_dir_1/file_0010","file_0010","","Done","10","File","","2023-01-08T18:45:51","false","aececec0bc3f515039aec9e60c413cd3","0","","","",""
"17","2","file:/home/git/sumfolder1/reference/collection/sub_dir_6/","/home/git/sumfolder1/reference/collection/sub_dir_6","sub_dir_6","","Done","","Folder","","2023-01-08T20:53:06","false","","","","","",""
"19","17","file:/home/git/sumfolder1/reference/collection/sub_dir_6/file_empty","/home/git/sumfolder1/reference/collection/sub_dir_6/file_empty","file_empty","","Done","0","File","","2018-08-14T18:09:29","false","d41d8cd98f00b204e9800998ecf8427e","0","","","",""
