ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,MD5_HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
1,,file:/C:/sumfolder1/reference/collection,C:\sumfolder1\reference\collection,collection,,Done,,Folder,,2023-01-10T13:45:41+01:00,false,,,,,,
2,1,file:/C:/sumfolder1/reference/collection/file_0000,C:\sumfolder1\reference\collection\file_0000,file_0000,Text,Done,10,File,,2023-01-08T18:43:06+01:00,TRUE,8cfda2609b880a553759cd6200823f3b,1,x-fmt/111,text/plain,Plain Text File,
3,1,file:/C:/sumfolder1/reference/collection/file_0001,C:\sumfolder1\reference\collection\file_0001,file_0001,Text,Done,10,File,,2023-01-04T23:29:39+01:00,TRUE,14118ff9ad0344decb37960809b2f17a,1,x-fmt/111,text/plain,Plain Text File,
4,1,file:/C:/sumfolder1/reference/collection/file_0002,C:\sumfolder1\reference\collection\file_0002,file_0002,Text,Done,10,File,,2023-01-04T23:29:44+01:00,TRUE,a4501ee1a5c711ea9db78a800a24e830,1,x-fmt/111,text/plain,Plain Text File,
5,1,file:/C:/sumfolder1/reference/collection/sub_dir_1,C:\sumfolder1\reference\collection\sub_dir_1,sub_dir_1,,Done,,Folder,,2023-01-08T20:52:42+01:00,false,,,,,,
6,5,file:/C:/sumfolder1/reference/collection/sub_dir_1/file_0003,C:\sumfolder1\reference\collection\sub_dir_1\file_0003,file_0003,Text,Done,10,File,,2023-01-04T23:29:54+01:00,TRUE,dc7f828c5fe622925181d06edada350f,1,x-fmt/111,text/plain,Plain Text File,
7,5,file:/C:/sumfolder1/reference/collection/sub_dir_1/file_0004,C:\sumfolder1\reference\collection\sub_dir_1\file_0004,file_0004,Text,Done,10,File,,2023-01-04T23:30:19+01:00,TRUE,e3d90a4bf14a9b355f0e69ba08df522d,1,x-fmt/111,text/plain,Plain Text File,
8,5,file:/C:/sumfolder1/reference/collection/sub_dir_1/file_empty,C:\sumfolder1\reference\collection\sub_dir_1\file_empty,file_empty,,empty source,0,File,,2018-08-14T18:09:29+02:00,FALSE,d41d8cd98f00b204e9800998ecf8427e,0,,,,
9,5,file:/C:/sumfolder1/reference/collection/sub_dir_1/sub_1_dir_1,C:\sumfolder1\reference\collection\sub_dir_1\sub_1_dir_1,sub_1_dir_1,,Done,,Folder,,2023-01-08T18:49:00+01:00,false,,,,,,
10,9,file:/C:/sumfolder1/reference/collection/sub_dir_1/sub_1_dir_1/file_0005,C:\sumfolder1\reference\collection\sub_dir_1\sub_1_dir_1\file_0005,file_0005,Text,Done,10,File,,2023-01-04T23:30:23+01:00,TRUE,637a3fb7da1ab61d10e96336d9758416,1,x-fmt/111,text/plain,Plain Text File,
11,1,file:/C:/sumfolder1/reference/collection/sub_dir_2,C:\sumfolder1\reference\collection\sub_dir_2,sub_dir_2,,Done,,Folder,,2023-01-04T23:27:50+01:00,false,,,,,,
12,1,file:/C:/sumfolder1/reference/collection/sub_dir_3,C:\sumfolder1\reference\collection\sub_dir_3,sub_dir_3,,Done,,Folder,,2023-01-04T23:28:39+01:00,false,,,,,,
13,12,file:/C:/sumfolder1/reference/collection/sub_dir_3/sub_3_empty_1,C:\sumfolder1\reference\collection\sub_dir_3\sub_3_empty_1,sub_3_empty_1,,Done,,Folder,,2023-01-04T23:28:54+01:00,false,,,,,,
14,13,file:/C:/sumfolder1/reference/collection/sub_dir_3/sub_3_empty_1/sub_3_empty_2,C:\sumfolder1\reference\collection\sub_dir_3\sub_3_empty_1\sub_3_empty_2,sub_3_empty_2,,Done,,Folder,,2023-01-04T23:28:54+01:00,false,,,,,,
15,1,file:/C:/sumfolder1/reference/collection/sub_dir_4,C:\sumfolder1\reference\collection\sub_dir_4,sub_dir_4,,Done,,Folder,,2023-01-08T18:48:43+01:00,false,,,,,,
16,15,file:/C:/sumfolder1/reference/collection/sub_dir_4/file_0006,C:\sumfolder1\reference\collection\sub_dir_4\file_0006,file_0006,Text,Done,10,File,,2023-01-04T23:30:30+01:00,TRUE,2b43227486ec8744cd5d4c955d269743,1,x-fmt/111,text/plain,Plain Text File,
17,15,file:/C:/sumfolder1/reference/collection/sub_dir_4/file_0007,C:\sumfolder1\reference\collection\sub_dir_4\file_0007,file_0007,Text,Done,10,File,,2023-01-04T23:31:00+01:00,TRUE,c5a1973a70e08bf1eee13b8090f790ad,1,x-fmt/111,text/plain,Plain Text File,
18,15,file:/C:/sumfolder1/reference/collection/sub_dir_4/file_0008,C:\sumfolder1\reference\collection\sub_dir_4\file_0008,file_0008,Text,Done,10,File,,2023-01-06T00:40:09+01:00,TRUE,fdffe4dd2d39c7d9986dbf5c6ec5ad39,1,x-fmt/111,text/plain,Plain Text File,
19,1,file:/C:/sumfolder1/reference/collection/sub_dir_5,C:\sumfolder1\reference\collection\sub_dir_5,sub_dir_5,,Done,,Folder,,2023-01-04T23:30:52+01:00,false,,,,,,
20,19,file:/C:/sumfolder1/reference/collection/sub_dir_5/sub_5_dir_1,C:\sumfolder1\reference\collection\sub_dir_5\sub_5_dir_1,sub_5_dir_1,,Done,,Folder,,2023-01-08T18:48:24+01:00,false,,,,,,
21,20,file:/C:/sumfolder1/reference/collection/sub_dir_5/sub_5_dir_1/file_0009,C:\sumfolder1\reference\collection\sub_dir_5\sub_5_dir_1\file_0009,file_0009,Text,Done,10,File,,2023-01-08T18:45:46+01:00,TRUE,7c1f9f9a4d0ce9a72ee63f37a1b7f694,1,x-fmt/111,text/plain,Plain Text File,
22,20,file:/C:/sumfolder1/reference/collection/sub_dir_5/sub_5_dir_1/file_0010,C:\sumfolder1\reference\collection\sub_dir_5\sub_5_dir_1\file_0010,file_0010,Text,Done,10,File,,2023-01-08T18:45:51+01:00,TRUE,aececec0bc3f515039aec9e60c413cd3,1,x-fmt/111,text/plain,Plain Text File,
23,1,file:/C:/sumfolder1/reference/collection/sub_dir_6,C:\sumfolder1\reference\collection\sub_dir_6,sub_dir_6,,Done,,Folder,,2023-01-08T20:53:06+01:00,false,,,,,,
24,23,file:/C:/sumfolder1/reference/collection/sub_dir_6/file_empty,C:\sumfolder1\reference\collection\sub_dir_6\file_empty,file_empty,,empty source,0,File,,2018-08-14T18:09:29+02:00,FALSE,d41d8cd98f00b204e9800998ecf8427e,0,,,,
